country_code,category,indicator,value
CHE,se,gini_index,32.7
CHE,se,unemployment_pctg,4.94000005722046
CHE,se,happiness_score,7.48
CHE,se,happiness_rank,6
CHE,se,ggi_index,0.755
CHE,se,ggi_rank,20
SYR,se,unemployment_pctg,9.02999973297119
SYR,se,happiness_score,3.462
SYR,se,happiness_rank,149
SYR,se,ggi_index,0.568
SYR,se,ggi_rank,146
TJK,se,gini_index,34
TJK,se,unemployment_pctg,7.5
TJK,se,happiness_score,5.467
TJK,se,happiness_rank,74
TJK,se,ggi_index,0.638
TJK,se,ggi_rank,123
TZA,se,gini_index,40.5
TZA,se,unemployment_pctg,2.16000008583069
TZA,se,happiness_score,3.231
TZA,se,happiness_rank,153
TZA,se,ggi_index,0.704
TZA,se,ggi_rank,71
THA,se,gini_index,36.4
THA,se,unemployment_pctg,1.01999998092651
THA,se,happiness_score,6.008
THA,se,happiness_rank,52
THA,se,ggi_index,0.702
THA,se,ggi_rank,73
TLS,se,gini_index,28.7
TLS,se,unemployment_pctg,5.05999994277954
TLS,se,ggi_index,0.638
TLS,se,ggi_rank,124
TGO,se,gini_index,43.1
TGO,se,unemployment_pctg,4.05000019073486
TGO,se,happiness_score,4.085
TGO,se,happiness_rank,139
TGO,se,ggi_index,0.618
TGO,se,ggi_rank,134
TTO,se,unemployment_pctg,6.73999977111816
TTO,se,happiness_score,6.192
TTO,se,happiness_rank,39
TTO,se,ggi_index,0.723
TTO,se,ggi_rank,44
TUN,se,gini_index,32.8
TUN,se,unemployment_pctg,16.6900005340576
TUN,se,happiness_score,4.461
TUN,se,happiness_rank,124
TUN,se,ggi_index,0.648
TUN,se,ggi_rank,119
TUR,se,gini_index,41.9
TUR,se,unemployment_pctg,13.9200000762939
TUR,se,happiness_score,5.373
TUR,se,happiness_rank,79
TUR,se,ggi_index,0.628
TUR,se,ggi_rank,130
TKM,se,unemployment_pctg,4.38000011444092
TKM,se,happiness_score,5.247
TKM,se,happiness_rank,87
UGA,se,gini_index,42.8
UGA,se,unemployment_pctg,2.44000005722046
UGA,se,happiness_score,4.189
UGA,se,happiness_rank,136
UGA,se,ggi_index,0.724
UGA,se,ggi_rank,43
UKR,se,gini_index,26.1
UKR,se,unemployment_pctg,9.47999954223633
UKR,se,happiness_score,4.332
UKR,se,happiness_rank,133
